line_use,use_of_sub,way_to_sub,use_of_sub,avg_time_min,experience,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,top_three_complaints,most_common_reason_for_delay,opinion_price,opinion_on_increased_fares,borough,location,zip_code,collection_method,date,time,month,day_name,hour,is_weekend
1,Everyday / Almost everyday,Walk,Work,20 - 40 min,Neutral,Everyday,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Overcrowded trains']",Train traffic,False,Positive,Queens,Junction Boulevard,,in person,2019-01-07,13:34:00,1,Monday,13,False
1,Everyday / Almost everyday,Bus,Other,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Unaware,Queens,Junction Boulevard,11369,in person,2019-01-07,13:37:00,1,Monday,13,False
1,"More than once a week, varies",Walk,Other,40 - 60 min,Neutral,Rarely,10 - 20 min,Wait for next train,Only on weekends,"['High fares', 'Crime / Safety']",No reason is given,True,Other / No thoughts,Queens,Flushing / Main Street,,in person,2019-01-07,13:38:00,1,Monday,13,False
1,"Weekdays, Mon - Fri",Bus,School,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,True,Negative,Queens,Court Square,11101,in person,2019-01-07,13:47:00,1,Monday,13,False
7,~5 days per week,Walk,Work,90 min - 2 hours,Not satisfied,Everyday,45 - 60 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",No reason is given,False,Positive,Queens,Junction Boulevard,,in person,2019-01-07,13:50:00,1,Monday,13,False
7,Once a week,Walk,Work,20 - 40 min,Neutral,A few times a week,5 - 10 min,,,,,True,,Queens,Junction Boulevard,,in person,2019-01-07,13:51:00,1,Monday,13,False
E,Once a week,Bus,Work,40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only at night,"['High fares', 'Customer service', 'Lack of handicap access']",Train traffic,False,Positive,Queens,Court Square,,in person,2019-01-07,13:52:00,1,Monday,13,False
7,"More than once a week, varies",Walk,Other,< 20 min,Neutral,Rarely,,Wait for next train,Almost never,"['Delays', 'High fares', 'Old trains']",No reason is given,True,Other / No thoughts,Queens,Flushing / Main Street,,in person,2019-01-07,13:54:00,1,Monday,13,False
7,Almost never,Walk,Other,< 20 min,Neutral,,5 - 10 min,For-hire vehicle,Almost never,,No reason is given,True,Other / No thoughts,Queens,Junction Boulevard,,in person,2019-01-07,13:56:00,1,Monday,13,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,Everyday,45 - 60 min,Wait for next train,Only at night,"['Delays', 'Frequent route changes', 'Old trains']",Train traffic,True,Negative,Queens,Other,11233,in person,2019-01-07,13:57:00,1,Monday,13,False
7,Everyday / Almost everyday,Walk,School,< 20 min,Neutral,A few times a week,10 - 20 min,Use another train,Almost never,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,True,Unaware,Queens,Junction Boulevard,,in person,2019-01-07,13:58:00,1,Monday,13,False
7,Once a month,Walk,Other,60 - 90 min,Somewhat satisfied,Never,5 - 10 min,Wait for next train,Almost never,"['Crime / Safety', 'Station infrastructure', 'Lack of handicap access']",No reason is given,True,Negative,Queens,Flushing / Main Street,12771,in person,2019-01-07,13:58:00,1,Monday,13,False
3,Everyday / Almost everyday,Walk,School,< 20 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only at night,"['Delays', 'Frequent route changes', 'Crime / Safety']",Train traffic,True,Unaware,Brooklyn,Junius St.,11208,in person,2019-01-08,07:14:00,1,Tuesday,7,False
7,"More than once a week, varies",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Positive,Queens,Court Square,11372,in person,2019-01-07,13:59:00,1,Monday,13,False
1,~5 days per week,Walk,Work,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Customer service']",Train traffic,True,Positive,Queens,Other,11377,in person,2019-01-07,13:59:00,1,Monday,13,False
R,~5 days per week,Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only at night,"['Delays', 'Frequent route changes', 'High fares']",Waiting for signal change,False,Positive,Queens,Other,10475,in person,2019-01-07,14:00:00,1,Monday,14,False
7,"Weekdays, Mon - Fri",Walk,Work,40 - 60 min,Very satisfied,Rarely,5 - 10 min,Take a bus,Almost never,['Delays'],Train traffic,True,Unaware,Queens,Junction Boulevard,11368,in person,2019-01-07,14:03:00,1,Monday,14,False
N,"More than once a week, varies",Walk,Other,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,"['Delays', 'High fares', 'Crime / Safety']",Train traffic,False,Negative,Queens,Flushing / Main Street,,in person,2019-01-07,14:03:00,1,Monday,14,False
1,~5 days per week,Walk,School,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,All the time,"['High fares', 'Crime / Safety', 'Overcrowded trains']",Police incident,False,Negative,Queens,Junction Boulevard,11368,in person,2019-01-07,14:03:00,1,Monday,14,False
E,Once a week,Path / NJ Transit,Other,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,,Queens,Other,,in person,2019-01-07,14:04:00,1,Monday,14,False
E,Once a month,,Other,40 - 60 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,Only at night,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Positive,Queens,Other,,in person,2019-01-07,14:05:00,1,Monday,14,False
R,"More than once a week, varies",Walk,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,['Delays'],,False,Negative,Queens,Other,,in person,2019-01-07,14:07:00,1,Monday,14,False
7,Everyday / Almost everyday,Bus,School,60 - 90 min,Not satisfied,Everyday,5 - 10 min,Use another train,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Positive,Queens,Flushing / Main Street,11365,in person,2019-01-07,14:11:00,1,Monday,14,False
E,~5 days per week,Walk,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only at night,['Delays'],Waiting for signal change,False,Negative,Queens,Other,,in person,2019-01-07,14:12:00,1,Monday,14,False
7,~5 days per week,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,['Delays'],Signal malfunction,True,Unaware,Queens,Junction Boulevard,11368,in person,2019-01-07,14:13:00,1,Monday,14,False
7,"More than once a week, varies",Walk,Other,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Frequent route changes', 'High fares', 'Station infrastructure']",Train traffic,False,Negative,Queens,Flushing / Main Street,11355,in person,2019-01-07,14:14:00,1,Monday,14,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,True,Positive,Queens,Other,,in person,2019-01-07,14:18:00,1,Monday,14,False
7,Everyday / Almost everyday,Walk,Other,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Crime / Safety']",Signal malfunction,False,Negative,Queens,Junction Boulevard,,in person,2019-01-07,14:19:00,1,Monday,14,False
7,Almost never,Walk,Other,20 - 40 min,Somewhat satisfied,Almost never,,Wait for next train,Almost never,"['Delays', 'Crime / Safety', 'Station infrastructure']",No reason is given,True,Unaware,Queens,Flushing / Main Street,,in person,2019-01-07,14:24:00,1,Monday,14,False
7,Everyday / Almost everyday,Walk,Work,< 20 min,Very satisfied,Everyday,5 - 10 min,Wait for next train,All the time,"['Delays', 'Overcrowded trains']",No reason is given,True,Neutral,Queens,Junction Boulevard,11368,in person,2019-01-07,14:26:00,1,Monday,14,False
R,Everyday / Almost everyday,Walk,Work,< 20 min,Somewhat satisfied,Everyday,10 - 20 min,Take a bus,,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Unaware,Queens,Other,11373,in person,2019-01-07,14:28:00,1,Monday,14,False
R,Almost never,Bus,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,Only on weekends,"['Delays', 'High fares', 'Lack of handicap access']",Signal malfunction,False,Negative,Queens,Other,,in person,2019-01-07,14:29:00,1,Monday,14,False
7,Everyday / Almost everyday,Walk,School,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,All the time,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,False,Negative,Queens,Flushing / Main Street,,in person,2019-01-07,14:30:00,1,Monday,14,False
F,Once a month,Walk,Other,40 - 60 min,Very satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,,Train traffic,False,Unaware,Queens,Other,11432,in person,2019-01-07,14:33:00,1,Monday,14,False
R,"More than once a week, varies",Walk,Other,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Crime / Safety']",Train traffic,True,Positive,Queens,Other,,in person,2019-01-07,14:34:00,1,Monday,14,False
E,"More than once a week, varies",Walk,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Almost never,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Neutral,Queens,Other,11377,in person,2019-01-07,14:37:00,1,Monday,14,False
7,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Signal malfunction,False,Negative,Queens,Junction Boulevard,11373,in person,2019-01-07,14:39:00,1,Monday,14,False
1,Everyday / Almost everyday,Bus,Other,90 min - 2 hours,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,"['High fares', 'Station infrastructure', 'Lack of handicap access']",Train traffic,False,Positive,Queens,Court Square,11694,in person,2019-01-07,14:43:00,1,Monday,14,False
R,"Weekdays, Mon - Fri",Walk,Work,< 20 min,Somewhat satisfied,Rarely,20 - 45 min,Use another train,Only on weekends,"['Frequent route changes', 'High fares']",Signal malfunction,True,Negative,Queens,Other,11377,in person,2019-01-07,14:43:00,1,Monday,14,False
R,~5 days per week,Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,['Delays'],Waiting for signal change,True,Positive,Queens,Other,11377,in person,2019-01-07,14:45:00,1,Monday,14,False
R,~5 days per week,Walk,School,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,For-hire vehicle,Only at night,"['Delays', 'Crime / Safety', 'Old trains']",Waiting for signal change,True,Unaware,Queens,Other,11377,in person,2019-01-07,14:51:00,1,Monday,14,False
7,"Weekdays, Mon - Fri",Walk,Work,90 min - 2 hours,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Customer service']",Signal malfunction,True,Positive,Queens,Junction Boulevard,11372,in person,2019-01-07,14:51:00,1,Monday,14,False
7,Everyday / Almost everyday,Walk,Work,60 - 90 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,All the time,"['Delays', 'Station infrastructure', 'Old trains']",Signal malfunction,True,Negative,Queens,Flushing / Main Street,11377,in person,2019-01-07,14:53:00,1,Monday,14,False
L,Everyday / Almost everyday,Bus,Work,60 - 90 min,Highly unsatisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Crime / Safety']",Train traffic,False,Negative,Queens,Court Square,,in person,2019-01-07,14:57:00,1,Monday,14,False
E,~5 days per week,Walk,Work,40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,['Delays'],Signal malfunction,False,Negative,Queens,Other,11372,in person,2019-01-07,15:00:00,1,Monday,15,False
F,Everyday / Almost everyday,Walk,School,40 - 60 min,Very satisfied,Rarely,10 - 20 min,Take a bus,Only on weekends,"['Delays', 'Customer service', 'Old trains']",Waiting for signal change,True,Negative,Queens,Flushing / Main Street,,in person,2019-01-07,15:01:00,1,Monday,15,False
M,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,Everyday,20 - 45 min,Wait for next train,Only at night,"['Delays', 'High fares', 'Customer service']",Signal malfunction,False,Negative,Queens,Other,11377,in person,2019-01-07,15:02:00,1,Monday,15,False
7,Everyday / Almost everyday,Walk,Other,20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,Take a bus,All the time,['Delays'],Waiting for signal change,False,Positive,Queens,Flushing / Main Street,11354,in person,2019-01-07,15:03:00,1,Monday,15,False
E,Everyday / Almost everyday,Bus,Work,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'Frequent route changes', 'Crime / Safety']",Signal malfunction,True,Positive,Queens,Junction Boulevard,,in person,2019-01-07,15:05:00,1,Monday,15,False
E,Once a week,Bus,School,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only at night,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,True,Neutral,Queens,Flushing / Main Street,11413,in person,2019-01-07,15:05:00,1,Monday,15,False
M,"Weekdays, Mon - Fri",Walk,Work,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,"['Delays', 'High fares', 'Station infrastructure']",Signal malfunction,True,Positive,Queens,Other,11377,in person,2019-01-07,15:07:00,1,Monday,15,False
7,Everyday / Almost everyday,Walk,Work,20 - 40 min,Very satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,"['Frequent route changes', 'Crime / Safety']",Train traffic,True,Unaware,Queens,Junction Boulevard,,in person,2019-01-07,15:10:00,1,Monday,15,False
1,~5 days per week,Bus,School,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,"['Delays', 'Crime / Safety']",Train traffic,True,Other / No thoughts,Queens,Flushing / Main Street,11412,in person,2019-01-07,15:10:00,1,Monday,15,False
R,Once a week,Bus,Other,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,"['Delays', 'High fares', 'Customer service']",Signal malfunction,False,Negative,Queens,Other,11102,in person,2019-01-07,15:11:00,1,Monday,15,False
N,"More than once a week, varies",Walk,Other,90 min - 2 hours,Neutral,Rarely,10 - 20 min,Walk,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Train traffic,False,Unaware,Queens,Other,11377,in person,2019-01-07,15:12:00,1,Monday,15,False
R,"Weekdays, Mon - Fri",Walk,School,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,True,Positive,Queens,Other,11377,in person,2019-01-07,15:14:00,1,Monday,15,False
1,Everyday / Almost everyday,Walk,Work,40 - 60 min,Somewhat satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Waiting for signal change,False,Negative,Queens,Flushing / Main Street,11354,in person,2019-01-07,15:19:00,1,Monday,15,False
7,Everyday / Almost everyday,Walk,School,< 20 min,Not satisfied,A few times a week,5 - 10 min,Walk,All the time,"['Delays', 'Overcrowded trains']",Train traffic,False,Unaware,Queens,Junction Boulevard,,in person,2019-01-07,15:20:00,1,Monday,15,False
F,Everyday / Almost everyday,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Only on weekends,"['Frequent route changes', 'High fares', 'Customer service']",Signal malfunction,False,Positive,Queens,Court Square,,in person,2019-01-07,15:21:00,1,Monday,15,False
7,~5 days per week,Walk,School,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Overcrowded trains']",Police incident,True,Positive,Queens,Junction Boulevard,,in person,2019-01-07,15:21:00,1,Monday,15,False
R,Once a month,Walk,Work,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only at night,['Overcrowded trains'],Train traffic,False,Negative,Queens,Other,11373,in person,2019-01-07,15:22:00,1,Monday,15,False
E,~5 days per week,Walk,School,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,"['Crime / Safety', 'Station infrastructure', 'Old trains']",Train traffic,True,Neutral,Queens,Other,11377,in person,2019-01-07,15:23:00,1,Monday,15,False
7,Everyday / Almost everyday,Bus,School,40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,"['Delays', 'High fares', 'Overcrowded trains']",No reason is given,True,Negative,Queens,Flushing / Main Street,,in person,2019-01-07,15:25:00,1,Monday,15,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Train traffic,True,Neutral,Queens,Other,,in person,2019-01-07,15:26:00,1,Monday,15,False
R,Everyday / Almost everyday,Walk,Work,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,All the time,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,True,Positive,Queens,Other,11377,in person,2019-01-07,15:27:00,1,Monday,15,False
1,Everyday / Almost everyday,Walk,School,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,True,Positive,Queens,Flushing / Main Street,11355,in person,2019-01-07,15:28:00,1,Monday,15,False
R,Everyday / Almost everyday,Walk,Work,60 - 90 min,Not satisfied,Everyday,20 - 45 min,Use another train,Only on weekends,['Delays'],Signal malfunction,False,Negative,Queens,Other,11377,in person,2019-01-07,15:31:00,1,Monday,15,False
7,"More than once a week, varies",Walk,Work,20 - 40 min,Neutral,Everyday,10 - 20 min,Wait for next train,All the time,"['Delays', 'High fares', 'Station infrastructure']",Waiting for signal change,False,Negative,Queens,Junction Boulevard,11368,in person,2019-01-07,15:32:00,1,Monday,15,False
7,Once a week,Walk,Other,40 - 60 min,Very satisfied,A few times a week,10 - 20 min,Take a bus,Almost never,"['Delays', 'Frequent route changes', 'Old trains']",No reason is given,True,Unaware,Queens,Other,11372,in person,2019-01-07,15:33:00,1,Monday,15,False
7,"Weekdays, Mon - Fri",Bus,School,60 - 90 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,"['Delays', 'Old trains', 'Overcrowded trains']",Train traffic,True,Unaware,Queens,Flushing / Main Street,,in person,2019-01-07,15:35:00,1,Monday,15,False
R,Everyday / Almost everyday,Walk,Other,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,['Overcrowded trains'],Train traffic,True,Other / No thoughts,Queens,Other,11377,in person,2019-01-07,15:36:00,1,Monday,15,False
R,Everyday / Almost everyday,Walk,School,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Take a bus,Only on weekends,"['Delays', 'Station infrastructure', 'Overcrowded trains']",Waiting for signal change,False,Negative,Queens,Other,11377,in person,2019-01-07,15:36:00,1,Monday,15,False
7,"Weekdays, Mon - Fri",Walk,School,< 20 min,Very satisfied,Rarely,10 - 20 min,Take a bus,Only on weekends,['Crime / Safety'],No reason is given,True,Unaware,Queens,Flushing / Main Street,,in person,2019-01-07,15:38:00,1,Monday,15,False
E,"More than once a week, varies",Bus,School,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Use another train,,"['Delays', 'Frequent route changes', 'Old trains']",No reason is given,True,Positive,Queens,Flushing / Main Street,,in person,2019-01-07,15:39:00,1,Monday,15,False
R,Everyday / Almost everyday,Bus,Work,< 20 min,Somewhat satisfied,Rarely,20 - 45 min,Take a bus,Almost never,"['Delays', 'High fares', 'Station infrastructure']",Signal malfunction,True,Other / No thoughts,Queens,Other,11370,in person,2019-01-07,15:41:00,1,Monday,15,False
7,~5 days per week,Walk,School,< 20 min,Somewhat satisfied,Almost never,10 - 20 min,Wait for next train,Almost never,"['Delays', 'High fares', 'Old trains']",Train traffic,True,Negative,Queens,Flushing / Main Street,11368,in person,2019-01-07,15:42:00,1,Monday,15,False
7,~5 days per week,Walk,School,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Only at night,"['Delays', 'High fares', 'Overcrowded trains']",Train traffic,False,Unaware,Queens,Flushing / Main Street,11373,in person,2019-01-07,15:42:00,1,Monday,15,False
F,"More than once a week, varies",Bus,Other,20 - 40 min,Highly unsatisfied,Everyday,45 - 60 min,Wait for next train,Only on weekends,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Negative,Queens,Other,11106,in person,2019-01-07,15:44:00,1,Monday,15,False
M,Everyday / Almost everyday,Bus,Work,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Almost never,"['Delays', 'Frequent route changes', 'Overcrowded trains']",Sick passenger,True,Positive,Queens,Other,11369,in person,2019-01-07,15:44:00,1,Monday,15,False
R,Everyday / Almost everyday,Walk,Work,40 - 60 min,Somewhat satisfied,Everyday,5 - 10 min,For-hire vehicle,Only at night,"['Delays', 'Frequent route changes', 'High fares']",Signal malfunction,False,Positive,Queens,Other,11377,in person,2019-01-07,15:47:00,1,Monday,15,False
7,Everyday / Almost everyday,Walk,Work,20 - 40 min,Very satisfied,Everyday,5 - 10 min,Wait for next train,All the time,"['Delays', 'Crime / Safety', 'Overcrowded trains']",Train traffic,False,Negative,Queens,Junction Boulevard,11368,in person,2019-01-07,15:48:00,1,Monday,15,False
R,"More than once a week, varies",Walk,Work,< 20 min,Very satisfied,A few times a week,20 - 45 min,Take a bus,Only on weekends,"['Frequent route changes', 'Old trains', 'Overcrowded trains']",Signal malfunction,True,Negative,Queens,Other,11377,in person,2019-01-07,15:49:00,1,Monday,15,False
1,~5 days per week,Personal bike,Work,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Bike,All the time,"['Delays', 'Frequent route changes']",Signal malfunction,True,Negative,Queens,Flushing / Main Street,,in person,2019-01-07,15:52:00,1,Monday,15,False
7,Everyday / Almost everyday,Walk,School,< 20 min,Neutral,A few times a week,10 - 20 min,For-hire vehicle,Only at night,"['Delays', 'Frequent route changes', 'High fares']",Train traffic,False,Negative,Queens,Other,,in person,2019-01-07,15:52:00,1,Monday,15,False
